text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
"acid reflux, stomach pain, muscle pain, trouble with liver count.","took 10 mg. for two years with no problems, then started to have burning,numb feet in toe area - both feet.","jaundice,right upper quadrant abdominal pain,very elevated liver function tests,itching of the skin,weakness,loss of appetite.",stomach pain,stomach ache,stomach discomfort,stomach ache,jaundice,jaundice
"75 yo mother-in-law has memory loss, hair loss, muscle spasms in left arm and legs, odd blood sugar pattern, sciatic pain which is not sciatica, periodic back and hip pain, gradual loss of feeling in toes, dizziness, vision problems, extreme tiredness, lack of appetite, and no enthusaism for life.",w/ prescribed dosage (75 mg bid) crankiness and irritability.,"kidney failure, difficulty swallowing, persistent pain in calf and knee, short term memory loss, peripheral neuropathy, constipation, sleep disturbance, mood change, rage.",vision problems,visual disturbance,visual disturbances,visual disturbance,leg pain,pain of lower extremities
tendonitis.,i have had tendonitis in my knees and troublesome pain in my lower legs and feet.,severe shoulder and upper body pain including tendonitis.,tendonitis,tendonitis,tendonitis in my knees,tendonitis,fatigued,fatigue
"i have headache, muscle ache, diarrhea, indigestion, abdominal pain, back pain, eyesight has changed sinus problems, joint pain, leg cramps.",indigestion - never had it before and stopped when i stopped taking the statin.,"headache, chestpain, arrythmia, diarrhea, malaisse, forgetfulness, confusion, back pain and after 1 month a worrisome case of phlebitis(every superficial vein in my one leg is bulging) my veins hurt, severe leg cramps, numbness in ankles and toes.",indigestion,indigestion,indigestion,indigestion,headache,headache
@sam_dietrich just had the viibryd vision shake thing again very cool,oscillopsia,"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma",vision shake,oscillopsia,vision shake,oscillopsia,withdrawal,withdrawal syndrome
"did reduce cholesterol but after 18 months suddenly developed muscle cramps and tendon pain everywhere - feet, knees, shins, thigh,hips, upper arms, shoulders, elbows, wrists, hands, tightened muscles in neck which aggravted spinal disc sysmptoms in areas where i have had problems in the past.",i stumbled across this website which was nothing short of a miracle to me.,"i've been on it for 18 months and only after 15 months the muscle pain started - particularly in the glutes, calves and thighs but also in the back and neck.",very severe cramps,muscle cramp,body cramps,muscle cramp,mild panic attack,panic attack
"i had diarrhea, severe abdominal pain which was constant for 4 hours straight, vomiting, trembling, dizziness, nausea.",i have been on lipitor 40mg. for 2 years.,"horrible muscle pains, horrible back spasms,spasms in leg muscles, nausea, vomiting, pain so bad that i could hardly walk or sit.",severe abdominal pain,abdominal pain,terrible abdominal pain,abdominal pain,nausea,nausea
very blurred vision and lower back pain.,"pain under ribs , restless legs .","blured vision, chest pain, sore muscles.",vision is so blurry,blurred vision,blurred vision,blurred vision,"changed my personality, from happy to a grouch",personality change
"ok for 4 years, then muscle cramps, spasms, weakness in legs and right hand progressed to atrophy.",i started lipitor more than two years ago.,"did reduce cholesterol but after 18 months suddenly developed muscle cramps and tendon pain everywhere - feet, knees, shins, thigh,hips, upper arms, shoulders, elbows, wrists, hands, tightened muscles in neck which aggravted spinal disc sysmptoms in areas where i have had problems in the past.",spasms,spasms,spasm,spasms,acute pain,acute pain
"hair fell out, insomnia, areas of fat under the skin became sore to the touch, last straw was ringing in the ears.","shoulder and neck muscle pain, tender joints, wrist pain, fogginess, depression when not getting enough rest, possible insomnia.","hair thinning, muscle aches, memory loss, tiredness, moody.",insomnia,insomnia,insomnia,insomnia,memory loss,amnesia
"severe muscle pain in hips, legs and ankles.","severe muscle pain in left arm and neck and elbow,and prickling,numbness in hand.","severe leg pain and weakness, muscle cramps in legs, feet, arms, ribs, face.",severe muscle pain in legs,myalgia,severe muscle pain in left arm,myalgia,muscle cramps in face,facial spasm
"pain in joints and muscles, including knees, ankles feet wrist shoulders and elbows.",epigastric pain,"aching joints: wrists, elbows, shoulders, knees, and gas.",burning in my stomach,epigastric pain,burning in my stomach,epigastric pain,aching joints shoulders,shoulder pain (due joint disorder)
"@major___tom mm, i'm wary of trying new meds after a really bad reaction to fluoxetine, but i've heard a lot of good things about citalopram",allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/kbj5fvqpff,"@notquitereal yeah, i mean, fluoxetine made me feel like shit, and citalopram makes me feel ace, so worth considering if you ever have to",reaction,allergic reaction,allergic reaction,allergic reaction,feel like shit,feeling unwell
feeling better and much less anxious (i could actually talk to people yesterday) but the fluoxetine makes me sooooo sleepy...,"just about dead, think it's bedtime.. fuck you quetiapine",@nicoleccoelho i take fluoxetine and it doesn't do shit it just makes me dizzy and tired,sleepy,sleepiness,just about dead,sleepiness,tired,tiredness
wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!,shivering,tysabri infusion #54 yesterday. made me feel tired and out of it for a while. maybe it's the heat - 34c (94f)!!! maybe a very hot summer?,shivering,shivering,shivering,shivering,tired,tiredness
"severe muscle pain in hips, legs and ankles.",took for 30 days.,"severe leg pain and weakness, muscle cramps in legs, feet, arms, ribs, face.",severe muscle pain in ankles,pain ankle,ankle hurt,pain ankle,muscle cramps in face,facial spasm
@dsymons @trainingwithra i agree that the after sting is much worse from #humira than #enbrel #rheum,ah the sting of the #humira injection. how i've not missed thee. #ankylosing #spondylitisq #ouch,@inkyworld why i came off it. gp told me its not dangerous but it is damn unpleasant. at least i know it's the quetiapine that's causing it,after sting,injection site stinging,sting,injection site stinging,not dangerous but it is damn unpleasant,feeling unwell
"loss of memory, aphasia, tremor, violent anger, tearfulness, insomnia, muscle weakness, easy bruising, and nosebleeds.","back, hip thigh, knee pain, which is affecting my gait.","muscle spasms and pain, joint pain, headaches, memory loss, skin rash, depression, insomnia.",loss of memory,amnesia,memory loss,amnesia,skin rash,rash
diagnosed with parkinsons after 10 months on drug.,i have been recently diagnosed with possible early parkinson's symptoms.,"type ii diabetic, formerly on oral medication but converted to insulin injections twice daily after bypass surgery.",tremors,tremor,tremors in right hand,tremor,general weakness in hands,flatulence
"weakness, cramping, muscle spasms.","deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.","muscle pain, muscle twitching, fatigue,.",difficulty swallowing,swallowing difficult,trouble swallowing,swallowing difficult,muscle twitching,muscle twitch
stopped because of high cpk.,"hair fell out, insomnia, areas of fat under the skin became sore to the touch, last straw was ringing in the ears.",elevated cpk in the 250 range.,insomnia,insomnia,insomnia,insomnia,cpk elevated,raised serum creatinine
"if your doctor prescribes you seroquel off label, they just want you to stfu. i'm a mute.",speech loss,gonna have to speak with my psychiatrist about stopping my olanzapine its interfering with my visions and it gives you memory loss and more.,mute,speech loss,mute,speech loss,memory loss,memory loss
took 10mg lipitor for approximately one year.,anxiety and the feeling i was bleeding inside.,i had been taking lipitor 10mg for 2 years.,anxiety,anxiety,anxiety,anxiety,rhinitis,rhinitis
