,ade,definition
1055,acid reflux-type symptoms, any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt  (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
1056,stiffness in my feet, the physical property of being inflexible and hard to bend a unit of length equal to one twelfth of a foot  the part of the leg of a human being below the ankle joint
1057,stay up all night, continuing or remaining in a place or state raise quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class the time after sunset and before sunrise while it is dark outside
1058,damaging my kidneys, inflict damage upon  either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
1059,brain zap," that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord a sudden event that imparts energy or excitement, usually with a dramatic impact"
1060,mild headache, moderate in type or degree or effect or force; far from extreme something or someone that causes anxiety; a source of unhappiness
1061,knocked me out," deliver a sharp blow or push :""He knocked the glass clear across the room"" a state in New England (baseball) a failure by a batter or runner to reach a base safely in baseball"
1062,ball of the foot would feel as if it was inflamed, round object that is hit or thrown or kicked in games   the part of the leg of a human being below the ankle joint  an intuitive awareness;  a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar  the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information a state in northwestern United States on the Pacific cause inflammation in
1063,jittery, characterized by jerky movements
1064,wrists pain, a joint between the distal end of the radius and the proximal row of carpal bones a symptom of some physical hurt or disorder
1065,pain in my left leg and foot, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle  the part of the leg of a human being below the ankle joint
